iter	Passed	Remaining
0	59	59734
1	60	29978
2	60	20058
3	60	15095
4	60	12121
5	61	10135
6	61	8714
7	61	7648
8	61	6818
9	62	6156
10	62	5612
11	62	5159
12	62	4776
13	63	4448
14	63	4164
15	63	3914
16	63	3694
17	64	3499
18	64	3324
19	64	3169
20	64	3029
21	65	2899
22	65	2780
23	65	2673
24	66	2574
25	66	2483
26	66	2397
27	66	2318
28	67	2245
29	67	2177
30	67	2115
31	67	2056
32	68	1999
33	68	1945
34	68	1895
35	68	1846
36	69	1803
37	69	1760
38	69	1720
39	70	1681
40	70	1644
41	70	1608
42	70	1574
43	71	1542
44	71	1511
45	71	1482
46	71	1454
47	71	1427
48	72	1401
49	72	1376
50	72	1352
51	72	1329
52	73	1308
53	73	1287
54	73	1267
55	74	1247
56	74	1228
57	74	1209
58	74	1191
59	74	1174
60	75	1157
61	75	1141
62	75	1126
63	75	1110
64	76	1096
65	76	1081
66	76	1067
67	76	1051
68	76	1038
69	77	1025
70	77	1013
71	77	1000
72	77	990
73	78	978
74	78	967
75	78	956
76	78	945
77	79	934
78	79	925
79	79	916
80	79	906
81	80	897
82	80	888
83	80	879
84	80	869
85	81	861
86	81	851
87	81	843
88	81	835
89	81	827
90	82	819
91	82	811
92	82	804
93	82	797
94	82	790
95	83	783
96	83	776
97	83	770
98	83	763
99	84	757
100	84	751
101	84	744
102	84	737
103	84	732
104	85	726
105	85	720
106	85	716
107	86	711
108	86	706
109	86	701
110	86	696
111	87	691
112	87	686
113	87	681
114	87	676
115	88	671
116	88	666
117	88	662
118	88	657
119	88	652
120	89	648
121	89	643
122	89	638
123	89	634
124	90	630
125	90	626
126	90	621
127	90	617
128	90	613
129	91	609
130	91	605
131	91	601
132	91	598
133	92	595
134	92	591
135	92	587
136	92	584
137	92	580
138	93	576
139	93	573
140	93	569
141	93	567
142	94	564
143	94	561
144	94	558
145	94	555
146	95	552
147	95	549
148	95	546
149	95	543
150	96	540
151	96	537
152	96	534
153	96	532
154	97	529
155	97	526
156	97	524
157	97	521
158	98	518
159	98	516
160	98	513
161	98	510
162	98	508
163	99	505
164	99	503
165	99	500
166	99	498
167	100	496
168	100	493
169	100	491
170	100	489
171	101	487
172	101	484
173	101	482
174	101	480
175	102	478
176	102	476
177	102	473
178	102	471
179	103	469
180	103	466
181	103	465
182	103	463
183	104	461
184	104	459
185	104	457
186	104	455
187	104	453
188	105	451
189	105	449
190	105	447
191	105	445
192	106	444
193	106	442
194	106	440
195	106	438
196	107	436
197	107	435
198	107	433
199	107	431
200	108	429
201	108	428
202	108	426
203	108	424
204	109	422
205	109	421
206	109	419
207	109	417
208	109	416
209	110	414
210	110	412
211	110	411
212	110	409
213	111	408
214	111	406
215	111	405
216	111	403
217	112	402
218	112	400
219	112	399
220	112	397
221	113	396
222	113	394
223	113	393
224	113	391
225	113	390
226	114	388
227	114	387
228	114	385
229	114	384
230	115	383
231	115	381
232	115	380
233	115	379
234	116	377
235	116	376
236	116	374
237	116	373
238	116	372
239	117	370
240	117	369
